"","RID","GroupAssignment","Age_Yrs","Year_of_Study","Live_Pets","Consumer_BARK","FS_pre","FS_post","PANAS_PA_pre","PANAS_PA_post","SCS_pre","SCS_post","SHS_pre","SHS_post","Engagement_pre","Engagement_post","Stress_pre","Stress_post","Homesick_pre","Homesick_post","Lonely_pre","Lonely_post","PANAS_NA_pre","PANAS_NA_post"
"143",143,"Direct",20,2,2,1,5.125,5,2.8,2.6,4.6,4.55,2.33333333333333,2.33333333333333,3,3,2,2,2,1,1.65,1.8,2.6,2.2
"144",144,"Indirect",21,4,2,1,5.75,6.375,4.2,4.2,4.7,5.5,3,3.33333333333333,1,1,4,4,1,3,2.2,1.45,1.6,1.4
"145",145,"Control",20,2,1,1,5.5,5.625,3.4,3,3.95,3.5,3,3,4,4,5,5,1,1,2.85,2.55,2.6,2.8
"146",146,"Direct",30,2,1,1,5,4.875,2.6,3.2,4.05,4.3,3.33333333333333,3.33333333333333,5,4,2,1,1,1,1.7,1.8,1.6,1.2
"147",147,"Indirect",21,2,2,1,6,6.125,3.8,3.8,4.1,4.55,4,3.66666666666667,4,3,2,2,3,2,1.7,1.8,1.2,1.4
"148",148,"Control",18,1,2,1,4.75,5.5,1.6,1.6,3.15,3.7,2.33333333333333,3.66666666666667,3,4,5,4,5,4,3.4,2.9,2,1.2
"149",149,"Direct",19,2,2,2,5.875,6,3,3.2,5.25,5.35,4.33333333333333,4.66666666666667,2,2,2,1,1,1,1.15,1.05,1.2,1.2
"150",150,"Indirect",23,4,2,1,5.375,5.375,2.6,2.8,4.05,4,4,4,2,2,3,2,2,2,2.5,2.2,1.8,1.6
"151",151,"Control",18,1,2,2,5.5,5.25,3.8,3.6,4.7,4.7,3.66666666666667,3.66666666666667,2,2,3,3,1,1,1.5,1.4,1.8,1.6
"152",152,"Direct",19,2,2,1,6.125,5.75,3.6,3.6,5.05,5.1,3.66666666666667,4,1,1,4,3,2,4,1.5,1.3,1.6,1.2
"153",153,"Indirect",19,2,2,1,6.25,6.25,3.4,3.6,5.25,5.35,3.66666666666667,4,3,2,3,2,1,1,1.65,1.5,1.6,1.2
"154",154,"Control",23,3,1,1,5.875,6,3.2,3.2,5.05,4.9,4.66666666666667,4.33333333333333,2,2,2,2,3,2,1.6,1.65,2.6,2.6
"155",155,"Direct",18,1,1,1,5.875,5.625,2.8,3.2,4.75,4.47368421052632,3.33333333333333,3.66666666666667,4,3,2,1,1,1,2.15,1.95,1.8,1
"156",156,"Indirect",21,4,1,2,5.375,5.375,3.2,3.4,4.1,4.15,3.33333333333333,4,3,3,4,4,4,3,2.4,2.15,2.4,2
"157",157,"Control",18,1,2,1,4,4,2.8,2.6,2.65,2.9,2.33333333333333,2.33333333333333,5,5,5,5,3,4,3.05,3.1,3,2.8
"158",158,"Direct",20,3,2,1,6,6.25,2.6,2.8,3.8,4.26315789473684,4.33333333333333,4.66666666666667,4,2,4,2,4,1,2.65,2.35,1.8,1.8
"159",159,"Indirect",18,1,2,1,5.75,5.75,4.6,4.2,3.45,3.35,4,4,2,2,3,2,3,1,3.05,2.75,2,1
"160",160,"Control",23,4,2,1,5.5,5.875,3.6,3.6,4.25,4.25,3.33333333333333,4,3,2,4,3,1,2,2,2.15,1.4,1.2
"161",161,"Direct",18,1,1,1,6.5,6.375,3.8,2,4.7,5,3.66666666666667,3.33333333333333,3,3,3,2,1,1,1.55,1.6,2.2,1.6
"162",162,"Indirect",19,2,2,1,5.375,5.25,2.8,2.6,3.75,3.8,3.66666666666667,4,3,3,3,1,1,1,2.4,2.25,1.6,1.4
"163",163,"Control",18,1,2,1,4.5,4.5,2.8,3.4,2.85,2.95,2.33333333333333,2.33333333333333,4,5,4,3,1,1,3.15,2.9,1.2,1
"164",164,"Direct",20,3,2,1,6.5,6.5,4,4.2,4.65,5.05,3.33333333333333,3.33333333333333,3,2,5,2,2,1,1.65,1.5,2.2,1.8
"165",165,"Indirect",18,1,2,1,6.125,6.125,3.4,4,4.95,5.3,3,3.66666666666667,2,2,4,3,3,2,1.8,1.55,1.8,1
"166",166,"Control",19,1,2,1,5.625,5.75,2.8,2.8,4.45,4.85,3,2.66666666666667,2,3,4,5,5,5,1.75,2.1,2,2.2
"167",167,"Direct",19,1,2,1,6.375,6.625,3.6,4,5.05,5.05,3.66666666666667,4,3,2,3,2,2,2,1.9,1.65,2,1.8
"168",168,"Indirect",18,1,2,1,5,6.375,2.4,3.2,5.15,5.625,1.66666666666667,2.66666666666667,2,2,4,1,5,3,1.6,1.15,1.2,1
"169",169,"Control",19,1,2,1,5,5.5,3.2,3.2,3.6,3.5,2.33333333333333,2.33333333333333,4,4,3,3,4,4,2.52631578947368,2.75,2.4,2.2
"170",170,"Direct",19,2,2,1,5.875,5.875,2.6,2.2,4.6,4.75,4,4.33333333333333,3,2,3,1,4,3,2.25,1.75,2.6,1.2
"171",171,"Indirect",24,4,1,1,6.25,6.125,3,2.6,3.8,3.7,3.66666666666667,3.66666666666667,2,2,2,1,1,1,2.5,2.4,1.4,1
"172",172,"Control",19,2,2,1,5.125,5.25,1.8,2,3.3,3.55,2.33333333333333,2.66666666666667,3,3,3,4,4,4,2.7,2.45,2,2
"173",173,"Direct",19,1,2,1,6.5,6.5,4.6,4.6,4.95,5.05,5,5,2,3,2,1,3,2,1.6,1.5,1.4,1.2
"174",174,"Indirect",19,1,1,1,5.25,5.625,3,2.75,4.7,4.25,3,3,2,3,4,4,1,1,2.1,2.35,3.8,4.4
"175",175,"Control",19,1,1,1,5.375,4.625,3.2,3,3.85,3.65,3.33333333333333,3,2,3,4,4,1,1,2.42105263157895,2.7,3.4,4.4
"176",176,"Direct",18,1,2,1,5.625,5.25,3.6,3.6,4.75,4.7,3.66666666666667,3.66666666666667,2,2,1,1,3,3,2.15,2.2,2.2,2
"177",177,"Indirect",19,2,2,1,5.875,6.125,3.2,2.4,5.35,5.55,4.33333333333333,4.66666666666667,2,2,2,2,1,1,1.55,1.15,2.4,2
"178",178,"Control",21,4,2,1,4.625,5.125,2.4,2.8,3.9,4.25,2.33333333333333,2.66666666666667,3,3,4,2,1,1,1.65,1.55,2.6,2.6
"179",179,"Direct",21,3,2,1,6.125,6.125,3.4,3.8,5.1,5.2,3.66666666666667,3.66666666666667,2,2,4,2,2,2,1.45,1.4,2.4,1.6
"180",180,"Indirect",21,3,1,1,5.5,5.625,3.6,4,4.3,4.15,3.33333333333333,3.33333333333333,2,2,4,3,1,1,2.3,2.1,2.8,2.6
"181",181,"Control",19,2,2,1,6,6.125,3.8,3.8,5.35,5.55,4.66666666666667,4.33333333333333,2,2,3,2,2,3,1.7,1.4,1.4,1.2
"182",182,"Direct",19,2,2,1,6,6,3.2,3.4,4.75,4.85,3.33333333333333,3.33333333333333,3,3,4,2,2,2,1.6,1.8,2.6,2
"183",183,"Indirect",25,5,1,1,7,7,4.4,5,5.2,5.35,4.33333333333333,4.33333333333333,4,3,2,2,1,1,1.55,1.55,1.2,1
"184",184,"Control",21,4,1,1,5.125,5.25,2.2,1.4,4.05,3.9,1.66666666666667,2,4,4,4,4,2,3,2.25,2.4,1.2,1.4
"185",185,"Direct",20,2,1,1,5.625,5.875,3.8,3.6,4.85,5.05,3.33333333333333,3.33333333333333,2,1,3,2,1,1,2,1.6,2,1
"186",186,"Indirect",19,2,2,2,6,6.75,3.4,3.8,5.3,5.85,3.66666666666667,4.66666666666667,1,1,4,2,3,5,1.9,1.35,2,1.2
"187",187,"Control",22,4,2,1,4.375,4.75,2.6,3,3.75,3.6,2.66666666666667,2.66666666666667,4,4,3,2,4,4,2,2.3,1.6,1.4
"188",188,"Direct",20,4,2,1,2.75,3.5,1.2,2.4,1.6,3.6,1.33333333333333,3,4,2,4,2,3,1,3.4,2.45,3.4,1.2
"189",189,"Indirect",21,4,1,1,6,6.25,3,2.6,5,5,3,3.66666666666667,3,3,3,1,1,1,1.75,1.55,1.4,1
"190",190,"Control",18,1,2,1,5.25,5.375,3.4,3.4,4.7,4.95,3.33333333333333,3.66666666666667,2,2,3,2,3,3,1.65,1.8,2.4,2.2
"191",191,"Direct",22,4,1,1,6.25,6.5,3.6,3.6,4.55,4.8,3.66666666666667,4,4,3,4,2,1,1,1.9,1.75,1.8,1
"192",192,"Indirect",18,1,2,1,5.875,5.5,3.8,3.6,4.65,4.4,3.33333333333333,4,2,3,4,3,3,3,2,1.9,1.8,1.4
"193",193,"Control",21,3,1,1,6,5.875,4.6,4.6,4.65,5.2,3.66666666666667,3.66666666666667,4,3,4,3,1,1,2.1,1.85,1.4,1.2
"194",194,"Direct",23,4,1,1,6.375,6.625,2.6,2.6,5.45,5.45,3.33333333333333,3.33333333333333,1,1,4,2,1,1,1.75,1.5,2.4,1.4
"195",195,"Indirect",22,3,1,1,6.125,6.125,3.2,3,4.7,4.75,4.33333333333333,4.33333333333333,3,3,4,4,1,1,1.8,2.2,2.2,2.6
"196",196,"Control",24,5,1,1,5.875,5,3,2.6,4.8,4.2,3.66666666666667,3.33333333333333,2,2,4,4,1,1,1.7,1.9,1.2,1.8
"197",197,"Direct",19,2,2,1,6.125,6.5,2.6,2.4,5.05,5.25,3.66666666666667,4,4,2,2,1,1,1,1.8,1.7,1,1
"198",198,"Indirect",20,2,2,2,5.625,5.875,3.2,1.8,4.45,4.15,4.33333333333333,4.33333333333333,2,2,2,3,3,4,1.85,2,1.2,1.8
"199",199,"Control",19,2,2,3,5.875,5.625,4,3.6,4.7,5.1,3.66666666666667,3.66666666666667,1,1,3,3,2,1,1.55,1.6,2.6,2.2
"200",200,"Direct",22,1,2,2,5.375,4.75,1.6,2.4,3.9,3.21052631578947,2.33333333333333,2.66666666666667,3,3,3,3,1,1,2.45,2.75,3,1.6
"201",201,"Indirect",28,5,1,1,5,4.75,2.8,3,3.5,3.6,2.33333333333333,3,3,3,3,1,1,1,2.57894736842105,2.55,2,1.2
"202",202,"Control",21,3,2,1,6,5.625,2.6,1.6,4.2,4.5,2.66666666666667,2.66666666666667,1,2,3,3,1,1,1.9,2.05,1.2,1.2
"203",203,"Direct",19,1,2,1,4.875,5.5,4.2,4.2,3.85,3.6,3.33333333333333,3.33333333333333,2,2,2,1,3,1,1.9,1.75,1,1
"204",204,"Indirect",20,2,1,1,3.5,3.75,3.8,3.8,2.05,2.15,2.66666666666667,2.66666666666667,5,5,4,4,1,1,3.2,3.15,3,2.8
"205",205,"Control",18,1,2,2,4.125,4.5,3,3.6,3.6,3.7,3.66666666666667,3.66666666666667,3,3,4,2,2,1,1.9,1.9,3.4,3.2
"206",206,"Direct",19,2,2,1,6.125,6.125,3.8,4,5.05,5.3,3.66666666666667,3.66666666666667,2,2,4,3,1,1,1.55,1.3,1.8,1.4
"207",207,"Indirect",20,2,1,1,5.875,5.375,2.2,2,4.05,4.15,3,3.66666666666667,4,3,3,2,1,1,2.45,2.2,1.8,1
"208",208,"Control",19,2,2,1,4.625,4.5,2,2,4.45,4.55,3,2.66666666666667,4,4,4,5,1,2,1.75,1.75,3.6,3
"209",209,"Direct",19,2,1,1,6,6,3.2,3,5.15789473684211,5.1,4,4,2,2,1,1,1,1,1.15,1.05,1,1
"210",210,"Indirect",19,2,1,1,6.625,6.5,3.8,4.2,5.15,5.6,4,4.33333333333333,3,3,2,4,1,1,1.63157894736842,1.6,1,1.4
"211",211,"Control",18,1,2,2,6.5,6.5,3.8,3.8,4.5,4.5,3.66666666666667,3.66666666666667,2,2,5,4,3,4,2.1,1.9,1.8,1.4
"212",212,"Direct",21,2,1,1,5.625,5.5,2.6,3.2,3.95,4.45,3.33333333333333,3.66666666666667,5,5,3,1,1,1,2.31578947368421,2.3,1.6,1
"213",213,"Indirect",19,2,2,1,5.625,6.25,3.2,4.4,5.15,5.8,2,2.66666666666667,1,1,4,2,1,1,1.5,1.3,1,1
"214",214,"Control",18,1,2,1,4.5,4.5,1.8,2,3.2,3,2,2.33333333333333,4,4,3,3,2,2,2.95,2.85,2,2
"215",215,"Direct",21,2,2,1,5.25,5,2.8,2.8,3.05,3.1,1.33333333333333,2,4,3,4,2,3,2,2.9,2.55,2.6,1.8
"216",216,"Indirect",19,2,2,1,4.875,4.75,3.8,3.2,3.5,4.05263157894737,2.33333333333333,2.66666666666667,4,4,4,3,3,3,2.55,2.45,3.2,3
"217",217,"Control",19,1,2,1,5.75,6.875,3.4,3.8,4.3,4.55,4.33333333333333,4.66666666666667,3,2,4,2,5,3,1.95,2,3.2,2.8
"218",218,"Direct",18,1,2,2,3.75,4.375,3.4,3.4,2.25,3.5,1.66666666666667,2.66666666666667,4,4,3,2,4,1,3.25,2.75,3.8,2.2
"219",219,"Indirect",19,1,2,2,4.5,3.5,3.6,3.2,3.25,3.2,3,2.66666666666667,3,3,4,4,1,1,2.85,2.75,3.4,3.6
"220",220,"Control",19,2,1,1,6.25,6.375,3.6,3.6,5.5,5.75,5,5,2,2,4,4,2,2,1.1,1.1,1.6,1
"221",221,"Direct",20,2,2,1,7,7,4,4,5.9,6,5,5,4,4,4,2,3,1,1.05,1,1.2,1
"222",222,"Indirect",19,2,1,1,7,7,3.6,4.2,5.35,5.55,3.66666666666667,4,1,1,2,2,1,1,1.3,1,1,1
"223",223,"Control",21,4,2,1,6,6,3.8,3.8,5.1,5.35,1.66666666666667,2.66666666666667,2,2,4,3,3,3,1.8,1.8,2.2,2.2
"224",224,"Direct",21,2,1,1,5.75,5.75,3.6,4,5.15,5.35,3.66666666666667,4,3,1,2,1,1,1,1.55,1.4,1.2,1
"225",225,"Indirect",20,1,2,1,4.875,4.625,3.8,3.2,3.5,3.65,2.66666666666667,3.33333333333333,2,2,5,5,2,2,2.35,2.35,3.4,3.4
"226",226,"Control",22,4,2,1,5.75,6.25,3.6,3.4,5.55,5.7,4.33333333333333,4.66666666666667,2,2,2,2,1,1,1.45,1.25,1.4,1.4
"227",227,"Direct",21,4,2,1,5.125,4.5,3.4,3.4,4.4,4.65,2.66666666666667,2.66666666666667,3,3,4,3,2,2,2.15,1.9,2.8,3
"228",228,"Indirect",18,1,1,1,4.875,5.25,2.4,1.6,3.1,3.42105263157895,1.66666666666667,2.33333333333333,4,4,4,3,1,1,2.6,2.4,2.4,1
"229",229,"Control",19,2,2,2,5.625,6,4.2,4,5.05,5.05,3.66666666666667,3.66666666666667,2,2,5,4,3,3,1.21052631578947,1.2,1.6,1.4
"230",230,"Direct",19,2,2,1,6,6.125,3.4,3,5.2,5.1,3.66666666666667,4.33333333333333,2,2,3,1,1,1,1.25,1.05,1.2,1.2
"231",231,"Indirect",19,1,2,1,5.625,6.125,3.2,3,4.45,4.95,3.33333333333333,3.66666666666667,2,2,3,2,3,3,1.9,1.55,2,1
"232",232,"Control",29,4,1,1,6.75,6.625,4.2,4.8,4.85,5.10526315789474,4.33333333333333,4.33333333333333,5,5,3,1,2,3,2.4,2.15789473684211,2.6,1.6
"233",233,"Direct",21,4,2,1,6.375,6.625,3.8,2.6,5.3,5.55,3.66666666666667,3.66666666666667,1,1,4,2,2,2,1.6,1.3,1.6,1
"234",234,"Indirect",19,2,2,1,5.5,5.5,2.6,2.8,4.15,4.25,2,2,4,3,3,2,3,2,1.95,2.6,1.8,1.2
"235",235,"Control",18,1,2,2,6.5,6.625,4.6,4.6,5.45,5.4,4.33333333333333,4.33333333333333,1,1,3,3,1,1,1.6,1.55,1.6,1.2
"236",236,"Direct",19,1,2,1,5.25,5.375,2.6,3.2,3.45,4,3,4.33333333333333,3,1,5,2,4,2,2.75,2.15,2.8,1.6
"237",237,"Indirect",19,2,2,1,6.125,6.25,4.2,4,5.4,5.55,4.66666666666667,4.66666666666667,1,1,3,3,1,1,1.65,1.65,1.2,1
"238",238,"Control",20,2,2,1,3,3.25,2,1.8,2.8,2.9,2,2,3,3,1,1,4,4,3.3,2.95,3.2,2.2
"239",239,"Direct",19,2,1,1,6.375,6.375,4,4.2,4.05,3.25,4,4.66666666666667,5,5,3,3,2,3,2.4,2.55,2,2.2
"240",240,"Indirect",19,2,2,1,6,6,3.2,3.6,4.8,4.7,3.33333333333333,3.66666666666667,2,1,2,2,1,1,1.7,1.75,1.4,1.4
"241",241,"Control",18,1,2,1,6,5.375,2.6,2.4,3.85,3.8,3.66666666666667,3.66666666666667,3,3,4,3,3,3,2.35,2.4,1.6,1.4
"242",242,"Direct",19,1,2,1,5.625,5.75,3,2.6,3.5,4,2.33333333333333,3.33333333333333,2,2,5,3,4,3,2.5,2.15,2,1.8
"243",243,"Indirect",27,2,1,1,5.5,5.5,2.8,2.6,3.65,3.9,3.66666666666667,3.66666666666667,4,4,4,3,1,1,2.1,2.1,2.2,2.2
"244",244,"Control",21,3,1,1,6.625,6.5,2.6,3.4,4.85,5.25,4.33333333333333,5,2,2,3,1,1,1,1.55,1.5,1.2,1
"245",245,"Direct",21,3,2,1,5.75,6.125,3.4,3.4,4.75,5.25,4.33333333333333,4.66666666666667,1,1,3,3,1,1,1.6,1.4,1.4,1
"246",246,"Indirect",20,2,1,1,5.75,5.75,2.8,3,4.25,4.75,4.33333333333333,3.66666666666667,2,2,4,3,1,2,1.75,1.7,2,2.4
"247",247,"Control",23,3,2,1,6.625,6.5,4.6,4.2,5.75,5.75,4.33333333333333,4.66666666666667,1,1,4,2,1,1,1.55,1.3,1.8,1.6
"248",248,"Direct",20,2,1,1,6.875,6.875,4,3.8,5.8,5.65,4.33333333333333,5,1,1,2,1,1,1,1.05,1.05,1.6,1.2
"249",249,"Indirect",21,3,1,1,6.375,6.625,4.2,4.8,5.25,5.85,3,3.66666666666667,2,2,3,2,2,1,1.4,1.15,1.6,1.2
"250",250,"Direct",18,1,2,1,5.25,5.625,3.6,3.4,4.35,4.65,3,3.66666666666667,4,3,4,2,3,2,2,1.7,1.8,1
"251",251,"Indirect",19,1,1,1,6.5,6.25,3.4,2.8,5.1,5.1,3.66666666666667,4,3,2,5,3,1,1,1.35,1.35,2,1.8
"252",252,"Control",19,1,1,1,5.5,6,3.4,3,3.85,3.95,2,2,1,4,5,5,2,1,2.25,2.15,3.6,3
"253",253,"Direct",19,1,2,1,5.875,5.875,2.8,3.2,4.55,4.45,3.66666666666667,4,2,2,3,3,1,1,1.75,1.5,1.6,1.8
"254",254,"Indirect",18,1,2,1,6.625,6.625,4.2,4.2,4.5,4.55,3.66666666666667,3.66666666666667,2,2,3,3,1,1,1.6,1.5,2.8,2.6
"255",255,"Control",19,2,2,1,5.5,5.125,3.4,3.4,3.15,2.75,2.33333333333333,2.33333333333333,3,3,4,4,1,1,2.9,3,3.2,3.4
"256",256,"Direct",19,1,2,1,5.75,5.75,3.6,3.8,3.9,4.2,3.66666666666667,3.66666666666667,3,2,1,1,3,1,2.65,2.05,1.2,1.2
"257",257,"Indirect",20,2,1,1,6.875,6.875,3.2,3.6,5.25,5.7,4.33333333333333,5,3,2,4,2,1,1,1.45,1.15,1.4,1
"258",258,"Control",20,1,2,1,6.5,6.375,2.8,2.8,5.45,5.55,5,4.66666666666667,1,1,2,1,3,2,1.25,1.4,1.2,1
"259",259,"Direct",20,3,2,1,6,6.25,3,3.4,4.89473684210526,5.2,3.33333333333333,3.66666666666667,2,2,4,3,2,1,1.6,1.3,1.6,1.2
"260",260,"Indirect",19,2,1,1,5.5,5.75,3,2.8,4.2,4.4,3.33333333333333,3.33333333333333,3,3,3,2,1,1,2.25,2.25,1.4,1
"261",261,"Control",36,3,2,1,7,7,4.4,4.8,5.55,5.35,4.33333333333333,4.66666666666667,2,2,4,2,1,1,1.35,1.2,1.2,1
"262",262,"Direct",22,3,2,1,6.375,6.625,5,5,5.4,5.6,3.66666666666667,4.33333333333333,1,1,3,1,1,1,1.65,1.42105263157895,1.8,1.6
"263",263,"Indirect",19,1,2,1,5.5,5.625,2.8,2.8,4.8,4.9,3.33333333333333,3.33333333333333,2,2,4,4,2,2,1.75,1.85,1.6,1.6
"264",264,"Control",19,1,2,1,6.125,6,3.2,3.6,5.1,5.4,4.33333333333333,4.33333333333333,2,1,4,4,3,3,1.5,1.3,1.4,1.8
"265",265,"Direct",18,1,1,1,6.375,6.75,3.8,4.2,4.2,4.9,3.66666666666667,4.33333333333333,3,3,2,1,1,1,2.55,2.15,2.2,1.4
"266",266,"Indirect",18,1,1,1,6.375,6.375,3,2.8,3.95,3.84210526315789,4,4,2,2,2,1,1,1,2.25,2.2,1.4,1.4
"267",267,"Control",19,2,2,1,5.375,6,1.8,2.2,4.65,4.9,3.33333333333333,3.66666666666667,3,3,5,3,4,2,2,1.65,1.6,1.2
"268",268,"Direct",20,2,2,1,5,5.625,3.6,3.8,2.35,2.95,3.33333333333333,4,4,3,3,2,4,2,3.5,2.85,1.8,1.2
"269",269,"Indirect",21,4,2,1,5.5,5.625,4.2,4.75,3.9,3.95,3,3.33333333333333,5,4,4,2,4,4,2.4,2.4,1.4,1.5
"270",270,"Control",24,5,2,1,5.375,5.625,2.8,2.8,4.65,4.6,3.66666666666667,3.66666666666667,3,4,2,3,1,1,1.7,1.8,1.4,1.2
"271",271,"Direct",23,4,1,1,5.625,5.875,4,3.4,3.6,3.55,2.33333333333333,2.33333333333333,3,3,2,1,2,2,2.8,2.5,2,1.4
"272",272,"Indirect",18,1,2,1,5.75,5.25,3,3,3.9,4.15,2.33333333333333,3.33333333333333,3,3,3,1,1,1,2.3,2.2,2.2,1
"273",273,"Control",19,2,2,1,5.875,5.75,3.6,3.8,5.1,5.05,4,4,2,1,2,1,1,1,1.55,1.55,1.8,1.6
"274",274,"Direct",18,1,1,1,5.75,5.875,3.4,3.4,4.25,4.8,3.66666666666667,3.66666666666667,2,2,3,1,2,2,2.1,1.7,2,1.6
"275",275,"Indirect",20,2,1,1,6.125,6.125,3.4,3.8,5,5.15,3.66666666666667,3.33333333333333,2,2,4,3,2,4,1.95,1.75,2,2.2
"276",276,"Control",18,1,2,1,6.375,6.75,4.4,4.6,4.85,5.3,3.66666666666667,4,5,4,1,1,3,3,2.05,1.8,2.6,1.8
"277",277,"Direct",19,2,2,1,5,4.375,2,2.8,4.45,4.35,2,2,5,3,4,3,2,4,2.3,2.05,3.2,2.4
"278",278,"Indirect",19,2,2,1,5.125,5.125,3.8,3.8,4.1,3.6,3.33333333333333,3.33333333333333,3,3,3,3,4,4,2.4,2.2,1.4,1.2
"279",279,"Control",21,4,1,1,6,5.875,4.2,3.4,5.25,5,3,2.33333333333333,1,1,3,3,1,1,1.45,1.75,1.2,1.4
"280",280,"Direct",22,2,2,1,4.75,5.375,3.6,3.6,4.5,4.85,2.33333333333333,3,2,2,3,2,3,3,1.9,1.7,1.2,1
"281",281,"Indirect",21,3,1,1,6.75,6.5,2.8,3.2,5.45,5.35,4.33333333333333,4.33333333333333,3,3,2,2,1,1,1.5,1.4,1.4,1.2
"282",282,"Control",20,3,1,1,6.625,6,3,3.2,5.45,5.55,5,5,4,4,2,3,2,2,1.45,1.15,1.4,1.2
"283",283,"Direct",19,1,2,1,4.75,4.625,3.2,3.8,4.65,4.45,2,3.33333333333333,2,2,4,2,1,1,2.5,2,3.6,1.8
"284",300,"Indirect",19,2,2,2,5.875,5.625,3.2,2.8,4.45,4.7,4,4,3,3,2,3,1,2,2.05,1.9,2.2,2.6
